In,Node,Closeness,Betweeness,Sujeto,Posicion,Ensayo,Selection
2,Superior image,0.07692307692307693,4,102,1,5,Real
1,Inferior image,0.0625,3,102,1,5,Real
0,Superior review score,0.1,0,102,1,5,Real
1,Superior Number of comments,0.09090909090909091,3,102,1,5,Real
1,Central Dist from center,0.05,0,102,1,5,Real
1,Superior image,0.1111111111111111,2,102,3,6,Precio
0,Center Number of comments,0.16666666666666666,0,102,3,6,Precio
1,Center price,0.14285714285714285,2,102,3,6,Precio
1,Inferior image,0.08333333333333333,0,102,3,6,Precio
1,Superior image,0.027777777777777776,1,102,3,7,Comentarios
1,Inferior image,0.023809523809523808,0,102,3,7,Comentarios
1,Central Dist from center,0.023809523809523808,0,102,3,7,Comentarios
0,Center location score,0.027777777777777776,0,102,3,7,Comentarios
0,Center price,0.03225806451612903,0,102,3,7,Comentarios
1,Central image,0.023809523809523808,0,102,3,7,Comentarios
1,Superior price,0.023809523809523808,0,102,3,7,Comentarios
0,Central image,0.0625,0,102,3,8,Precio
0,Central Dist from center,0.07692307692307693,0,102,3,8,Precio
1,Superior price,0.0625,1,102,3,8,Precio
1,Inferior image,0.05,0,102,3,8,Precio
1,Center price,0.05,0,102,3,8,Precio
0,Superior image,0.012345679012345678,0,102,1,9,Precio
0,Superior Dist from center,0.012345679012345678,0,102,1,9,Precio
0,Superior review score,0.012345679012345678,0,102,1,9,Precio
0,Inferior review score,0.012345679012345678,0,102,1,9,Precio
0,Inferior location score,0.012345679012345678,0,102,1,9,Precio
1,Inferior image,0.011111111111111112,0,102,1,9,Precio
1,Central Dist from center,0.011111111111111112,0,102,1,9,Precio
1,Center review score,0.011111111111111112,0,102,1,9,Precio
1,Center location score,0.011111111111111112,0,102,1,9,Precio
1,Superior price,0.011111111111111112,0,102,1,9,Precio
0,Central image,0.01,0,102,2,12,Comentarios
1,Inferior Dist from center,0.00909090909090909,0,102,2,12,Comentarios
0,Inferior review score,0.012345679012345678,0,102,2,12,Comentarios
1,Superior review score,0.01,1,102,2,12,Comentarios
0,Superior location score,0.01,0,102,2,12,Comentarios
0,Inferior location score,0.01,0,102,2,12,Comentarios
1,Inferior image,0.00909090909090909,0,102,2,12,Comentarios
1,Center review score,0.00909090909090909,0,102,2,12,Comentarios
1,Superior Number of comments,0.00909090909090909,0,102,2,12,Comentarios
1,Center location score,0.00909090909090909,0,102,2,12,Comentarios
1,Superior price,0.00909090909090909,0,102,2,12,Comentarios
2,Central image,0.05,0,102,1,13,Precio
0,Central Dist from center,0.0625,0,102,1,13,Precio
0,Superior price,0.07692307692307693,0,102,1,13,Precio
1,Center price,0.0625,1,102,1,13,Precio
1,Center location score,0.05,0,102,1,13,Precio
1,Superior image,0.027777777777777776,2,102,3,14,Comentarios
1,Inferior image,0.023809523809523808,0,102,3,14,Comentarios
0,Superior Number of comments,0.027777777777777776,0,102,3,14,Comentarios
0,Superior location score,0.037037037037037035,0,102,3,14,Comentarios
2,Center price,0.03225806451612903,2,102,3,14,Comentarios
1,Central image,0.023809523809523808,0,102,3,14,Comentarios
1,Center Number of comments,0.023809523809523808,0,102,3,14,Comentarios
0,Inferior image,0.07692307692307693,0,102,1,15,Comentarios
1,Superior Dist from center,0.0625,1,102,1,15,Comentarios
0,Center review score,0.0625,0,102,1,15,Comentarios
1,Inferior Dist from center,0.05,0,102,1,15,Comentarios
1,Superior price,0.05,0,102,1,15,Comentarios
1,Superior image,0.25,1,102,3,16,Comentarios
0,Superior price,0.3333333333333333,0,102,3,16,Comentarios
1,Inferior review score,0.16666666666666666,0,102,3,16,Comentarios
1,Inferior image,0.25,1,102,3,17,Real
0,Inferior location score,0.3333333333333333,0,102,3,17,Real
1,Inferior Dist from center,0.16666666666666666,0,102,3,17,Real
3,Superior image,0.09090909090909091,3,103,1,0,Real
2,Central image,0.07692307692307693,4,103,1,0,Real
1,Inferior image,0.0625,3,103,1,0,Real
0,Center Number of comments,0.1,0,103,1,0,Real
1,Superior review score,0.05,0,103,1,0,Real
4,Superior image,0.16666666666666666,0,103,1,1,Real
3,Central image,0.16666666666666666,0,103,1,1,Real
0,Inferior image,0.25,0,103,1,1,Real
2,Superior image,0.16666666666666666,0,103,1,2,Comentarios
1,Central image,0.14285714285714285,2,103,1,2,Comentarios
1,Inferior image,0.1111111111111111,2,103,1,2,Comentarios
1,Superior location score,0.08333333333333333,0,103,1,2,Comentarios
2,Superior image,0.05,0,103,2,4,Comentarios
3,Central image,0.0625,0,103,2,4,Comentarios
2,Inferior image,0.05,0,103,2,4,Comentarios
0,Superior price,0.0625,0,103,2,4,Comentarios
1,Center price,0.05,0,103,2,4,Comentarios
3,Superior image,0.08333333333333333,0,103,2,5,Precio
4,Central image,0.08333333333333333,0,103,2,5,Precio
1,Inferior image,0.08333333333333333,0,103,2,5,Precio
0,Superior price,0.1111111111111111,0,103,2,5,Precio
4,Superior image,0.14285714285714285,2,103,1,6,Precio
6,Central image,0.1111111111111111,2,103,1,6,Precio
5,Inferior image,0.08333333333333333,0,103,1,6,Precio
1,Superior price,0.16666666666666666,0,103,1,6,Precio
6,Superior image,0.14285714285714285,2,103,1,8,Comentarios
3,Central image,0.1111111111111111,2,103,1,8,Comentarios
2,Inferior image,0.08333333333333333,0,103,1,8,Comentarios
0,Superior price,0.16666666666666666,0,103,1,8,Comentarios
2,Superior image,0.05,0,103,1,9,Comentarios
2,Central image,0.0625,0,103,1,9,Comentarios
0,Superior star rating,0.0625,0,103,1,9,Comentarios
1,Inferior image,0.05,0,103,1,9,Comentarios
1,Superior price,0.05,0,103,1,9,Comentarios
1,Superior image,0.03333333333333333,0,103,2,10,Real
3,Central image,0.047619047619047616,0,103,2,10,Real
2,Inferior image,0.04,1,103,2,10,Real
0,Superior price,0.04,0,103,2,10,Real
1,Inferior location score,0.03333333333333333,0,103,2,10,Real
1,Center price,0.03333333333333333,0,103,2,10,Real
0,Superior image,0.1111111111111111,0,103,3,11,Precio
4,Central image,0.08333333333333333,0,103,3,11,Precio
4,Inferior image,0.1111111111111111,0,103,3,11,Precio
1,Inferior review score,0.08333333333333333,0,103,3,11,Precio
1,Superior image,0.14285714285714285,2,103,2,12,Precio
1,Central image,0.1111111111111111,2,103,2,12,Precio
0,Central star rating,0.16666666666666666,0,103,2,12,Precio
1,Inferior image,0.08333333333333333,0,103,2,12,Precio
1,Superior image,0.25,0,103,2,14,Real
2,Central image,0.16666666666666666,0,103,2,14,Real
2,Inferior image,0.16666666666666666,0,103,2,14,Real
2,Superior image,0.14285714285714285,2,103,3,15,Real
2,Central image,0.1111111111111111,2,103,3,15,Real
0,Center price,0.16666666666666666,0,103,3,15,Real
1,Inferior image,0.08333333333333333,0,103,3,15,Real
3,Superior image,0.25,1,103,1,16,Precio
3,Central image,0.16666666666666666,0,103,1,16,Precio
1,Inferior image,0.3333333333333333,0,103,1,16,Precio
